Job Title,Company Name,Job Location,Salary,Applying Method,Job Type,Job link
Data & CRM Analyst,Red Wireless,Pakistan,"Rs 185,000 - Rs 195,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=9954eeb5788cb84d&from=hp&tk=1j65aip8mh85v896&bb=sHRj29JGK7zI_l0oh7x_JTeQoFrfLWM2-I7jdnsL6PxmiOunOq3H2iIPRwNaqErQwlATfoN48ErZNndjRzBCE9GTR3kOdgvl6amzl4XXa1Z-mG_2JlqKvuovX_DOdK3uwinrzUXpXN4izBBAuqXnpw%3D%3D&xkcb=SoA367M3sFdE7dAfST0AbzkdCdPP
Data & BI Analyst,creationsmotorsport,Pakistan,"Rs 50,000 - Rs 70,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=ceb66d0ad75b4d07&from=hp&tk=1j65aip8mh85v896&bb=sHRj29JGK7zI_l0oh7x_JTYFYVSOcXE6oOAg29FwYcHpU9-5uDulIWG0coydcXo5L01o1nEl6qcr3EhX1O3wsBGTNF8X7QTLeM97Q7z15jbkWvRC2b4rKmXoMi5kpXRD86lnmzw2JfOsPUp8hhsZzg%3D%3D&xkcb=SoAk67M3sFdE7dAfST0EbzkdCdPP
Supply Chain Data Analyst (Demand Planning and Forecasting),Cakes and Bakes,Lahore,"Rs 50,000 - Rs 70,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=d185f4775c7e579a&from=hp&tk=1j65aip8mh85v896&bb=sHRj29JGK7zI_l0oh7x_JRMdjxNDdrcrWOykFhWorMmrUCw7JMbXgHL7bbs0TicZm0xufPA17Gbw-LHxR5oX7ShI_MTrCXBZIG0utg4rzHOVOTPf4e2MKHY7pPh1sKQ7raV_1NELivAw_Yu7xFxPpQ%3D%3D&xkcb=SoCe67M3sFdE7dAfST0YbzkdCdPP
Business Analyst,Technocares,Lahore Model Town,"Rs 50,000 - Rs 150,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=8a3522a0646110a5&from=hp&tk=1j65aip8mh85v896&bb=sHRj29JGK7zI_l0oh7x_JfC9LCc2cSDwMPLUkJ2ZoUX7MKQxBdcomkeRnGJK0xH9UoSxtw4NFgewwzOFSX9XPmrXkprHq70pVsiKCFRjhGRlEhy9mqFEGREGZV6feLJdhFZ8GawjLFHp5QKGbSbXZA%3D%3D&xkcb=SoCI67M3sFdE7dgfST0LbzkdCdPP
Credentialing Specialist & Data Analyst ( Remote ),Obizworks-Offshore Business Consultants,Pakistan,"Rs 100,000 - Rs 150,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=9f546679baa621df&from=hp&tk=1j65aip8mh85v896&bb=sHRj29JGK7zI_l0oh7x_JbuqbuOTLyT2apV-8gDzs3YGD58l2CEKglMFgdzhjwWhW8IZDuGdDYsilqYgM8QRkDkMW4ODVZPYRIPlmktTiYMfTH7-BOk0CP7RGlJTXFw5K0DWNaIW_285JKJPHFjY8A%3D%3D&xkcb=SoCb67M3sFdE7dgfST0PbzkdCdPP
Data Analyst,The Migration,Lahore,"Rs 80,000 - Rs 100,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=13260d109aa6a0f6&from=hp&tk=1j65aip8mh85v896&bb=sHRj29JGK7zI_l0oh7x_JbiGQMAfK2ScFYF1Uj-TJB1nqhoDaSlg0JD8pGWNVVOUvW6vbJJITFItS8RHdXOcb0ga0n60iKaFQ8qttuFCgMWiCc63Dz7rIF744ERU1yvqdbf55YVRmf1YRfHDsnSt9A%3D%3D&xkcb=SoDv67M3sFdE7dgfST0DbzkdCdPP
Customer Service Data Analyst,GT Ecom B.V.,Pakistan,"From Rs 1,580 an hour",Easily apply,,https://pk.indeed.com/rc/clk?jk=c12b7c4f2f604c9b&from=hp&tk=1j65aip8mh85v896&bb=sHRj29JGK7zI_l0oh7x_JaMzQutgbQWT2rbanBVqnADFYYFsYgLwvRJwoc1ksvuXTxvRY_aQzv_7WTxdiMd0UcJRjuW4eUY0i3WQt9psgZV5zNatio9iAjSgGB0iAgc7_j5GIeFN38h2jbTfX4w1hw%3D%3D&xkcb=SoD867M3sFdE7dgfST0HbzkdCdPP
Data Analyst Specialist,LUX DECOR COLLECTION,Pakistan,"Rs 100,000 - Rs 180,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=259b24775c62e116&from=hp&tk=1j65aip8mh85v896&bb=sHRj29JGK7zI_l0oh7x_JTXtcXRV-wzxX0tUvDxtdJwqPFbPBL9B5f5Dkp08C7JTJIHcQQ4MdXRf5sxIfSzwBtLgfTuWDOlN4ZdBwbppAOhN5bi3syquXNJ-yydbDefx2F-ja_UP0yZxU6dJIJN7Gg%3D%3D&xkcb=SoBG67M3sFdE7dgfST0bbzkdCdPP
Data Conversion Specialist (MS Excel Expert),RepairDesk,Lahore,"Up to Rs 120,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=398489ce65794d8d&from=hp&tk=1j65aip8mh85v896&bb=sHRj29JGK7zI_l0oh7x_JRvynpJElL82NBCkRSf6qafEcQHIvDCv1mbrtcRpThKDV0vFweV5UU_CtEKM05hQpCOz6Gd-rDnrQ10qx_f0VPtQYV66p9qhtokQqJ0rBxkZn7Y6k3Uhb5PYPP2eadmESg%3D%3D&xkcb=SoBV67M3sFdE7dgfST0fbzkdCdPP
Power BI & Data Engineering Specialist,Technisoft,Lahore,"Rs 85,000 - Rs 110,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=362bc72dc226a315&from=hp&tk=1j65aip8mh85v896&bb=sHRj29JGK7zI_l0oh7x_JezwJgCNqFHaY_Kqa1owJJSyYQrzmaVuwAljMrFai3JyhybUQ7GUDI2SxlRXsRlwE0umNEy9HgAk1LaV987beHPzWTyJvQ752yCJxebgIhqFR4iPP16ouPLryQJz-klNjw%3D%3D&xkcb=SoAh67M3sFdE7dgfST0TbzkdCdPP
